"strain,-","stress,MPa","stress,Pa"
0.0485,1701.736924436528,1701736924.436528
0.049,1701.7974406763392,1701797440.6763391
0.0495,1701.8557220622736,1701855722.0622735
0.05,1701.9118511270838,1701911851.1270838
0.0505,1701.9659073556027,1701965907.3556027
0.051,1702.0179672973022,1702017967.2973022
0.0515,1702.068104674697,1702068104.674697
0.052,1702.1163904877412,1702116390.4877412
0.0525,1702.1628931143744,1702162893.1143744
0.053,1702.2076784073506,1702207678.4073505
0.0535,1702.2508097874938,1702250809.787494
0.054,1702.292348333508,1702292348.333508
0.0545,1702.3323528684718,1702332352.8684719
0.055,1702.370880043138,1702370880.043138
0.0555,1702.4079844161572,1702407984.4161572
0.056,1702.443718531339,1702443718.5313392
0.0565,1702.4781329920595,1702478132.9920595
0.057,1702.511276532921,1702511276.532921
0.0575,1702.543196088766,1702543196.088766
0.058,1702.5739368611416,1702573936.8611417
0.0585,1702.6035423823093,1702603542.3823094
0.059,1702.632054576893,1702632054.576893
0.0595,1702.6595138212472,1702659513.821247
0.06,1702.6859590006347,1702685959.0006347
0.0605,1702.7114275642928,1702711427.5642927
0.061,1702.7359555784653,1702735955.5784652
0.0615,1702.759577777476,1702759577.7774758
0.062,1702.7823276129157,1702782327.6129158
0.0625,1702.8042373010153,1702804237.3010154
0.063,1702.8253378682648,1702825337.868265
0.0635,1702.8456591953523,1702845659.1953523
0.064,1702.8652300594767,1702865230.0594769
0.0645,1702.8840781751012,1702884078.1751013
0.065,1702.9022302331978,1702902230.2331977
0.0655,1702.919711939046,1702919711.939046
0.066,1702.9365480486344,1702936548.0486345
0.0665,1702.9527624037169,1702952762.4037168
0.067,1702.9683779655757,1702968377.9655757
0.0675,1702.9834168475372,1702983416.8475373
0.068,1702.9979003462865,1702997900.3462865
0.0685,1703.0118489720262,1703011848.972026
0.069,1703.02528247752,1703025282.47752
0.0695,1703.0382198860666,1703038219.8860667
0.07,1703.0506795184372,1703050679.5184371
0.0705,1703.06267901882,1703062679.01882
0.071,1703.074235379807,1703074235.379807
0.0715,1703.0853649664566,1703085364.9664567
0.072,1703.0960835394683,1703096083.5394683
0.0725,1703.1064062775022,1703106406.277502
0.073,1703.1163477986727,1703116347.7986727
0.0735,1703.1259221812502,1703125922.18125
0.074,1703.1351429835975,1703135142.9835975
0.0745,1703.1440232633686,1703144023.2633686
0.075,1703.152575596001,1703152575.5960011
0.0755,1703.1608120925243,1703160812.0925243
0.076,1703.168744416709,1703168744.416709
0.0765,1703.176383801585,1703176383.801585
0.077,1703.1837410653482,1703183741.0653481
0.0775,1703.1908266266807,1703190826.6266809
0.078,1703.197650519505,1703197650.519505
0.0785,1703.2042224071915,1703204222.4071915
0.079,1703.2105515962453,1703210551.5962453
0.0795,1703.216647049483,1703216647.049483
0.08,1703.2225173987263,1703222517.3987262
0.0805,1703.2281709570257,1703228170.9570258
0.081,1703.2336157304314,1703233615.7304316
0.0815,1703.2388594293323,1703238859.4293323
0.082,1703.2439094793738,1703243909.4793737
0.0825,1703.2487730319735,1703248773.0319736
0.083,1703.2534569744482,1703253456.9744482
0.0835,1703.2579679397682,1703257967.939768
0.084,1703.262312315948,1703262312.315948
0.0845,1703.2664962550953,1703266496.2550952
0.085,1703.2705256821207,1703270525.6821208
0.0855,1703.2744063031291,1703274406.3031292
0.086,1703.2781436134999,1703278143.6134999
0.0865,1703.2817429056695,1703281742.9056695
0.087,1703.285209276625,1703285209.276625
0.0875,1703.2885476351232,1703288547.6351233
0.088,1703.291762708641,1703291762.708641
0.0885,1703.294859050071,1703294859.050071
0.089,1703.2978410441674,1703297841.0441673
0.0895,1703.3007129137568,1703300712.9137568
0.09,1703.3034787257177,1703303478.7257178
0.0905,1703.3061423967392,1703306142.3967392
0.091,1703.3087076988681,1703308707.698868
0.0915,1703.3111782648496,1703311178.2648497
0.092,1703.3135575932724,1703313557.5932724
0.0925,1703.3158490535238,1703315849.0535238
0.093,1703.3180558905594,1703318055.8905594
0.0935,1703.3201812294992,1703320181.229499
0.094,1703.3222280800533,1703322228.0800533
0.0945,1703.3241993407837,1703324199.3407836
0.095,1703.326097803209,1703326097.803209
0.0955,1703.3279261557577,1703327926.1557577
0.096,1703.3296869875749,1703329686.9875748
0.0965,1703.3313827921888,1703331382.792189
0.097,1703.3330159710429,1703333015.9710429
0.0975,1703.334588836895,1703334588.836895
0.098,1703.3361036170932,1703336103.617093
0.0985,1703.3375624567307,1703337562.4567306
